x,y,name,fontface,size,pointsize
-133.4,56.4,"Sumner
Strait",italic,3,1.5
-132,54.45,"Dixon
Entrance",italic,3,1.5
-130.7,53.2,"Hecate
Strait",italic,3,1.5
-129,51.5,"Queen
Charlotte
Strait",italic,3,1.5
-124.2,48.35,"Juan de
Fuca Strait",italic,3,1.5
-122.5,48,"Puget
Sound",italic,3,1.5
-123.5,49.2,"Strait of
Georgia",italic,3,1.5
-125.15,48.9,"Barkley
Sound",italic,3,1.5
-127.4,50.8,"Queen
Charlotte
Sound",italic,3,1.5
-126,50.45,"Johnstone
Strait",italic,3,1.5
-127.311667,51.6775,"Rivers
Inlet",italic,3,1.5
